# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   22       1.254934674306e-10       9.591575964592e-16       1.939231536253e-13       0.000000000000e+00       2.655778655467e-10       2.555294426540e-11      -5.513810105305e-15       2.291525899109e-04       2.262366374200e-04       2.222162044750e-04       1.396817857177e-04       5.123115871380e-05       2.245316091430e-04       2.217011172622e-04       1.469301727368e-04       5.697352925339e-05       2.200577283989e-04       1.537568984923e-04       6.301159131998e-05       1.822254518670e-04       1.282822540062e-04       1.540238599597e-04       9.419985971082e-08       9.262142887527e-08       9.108053898986e-08       7.750980239172e-08       6.667923084599e-08 
   23       1.273896332926e-10       1.125597195805e-15       2.042142011016e-13       0.000000000000e+00       2.453644978975e-10       2.371539528849e-11      -1.048298416593e-14       2.533226164906e-04       2.501177704253e-04       2.456973336419e-04       1.548523867223e-04       5.725545829371e-05       2.482446499746e-04       2.451329288339e-04       1.628381054670e-04       6.360889594940e-05       2.433268078803e-04       1.703573406126e-04       7.028527456932e-05       2.016787904575e-04       1.422686256757e-04       1.705581480815e-04       9.576777198905e-08       9.418301390438e-08       9.263530840796e-08       7.897796711115e-08       6.804426515459e-08 
   24       1.293368624359e-10       1.310623255627e-15       2.140822628363e-13       0.000000000000e+00       2.272425081853e-10       2.207208368778e-11      -1.435295108866e-14       2.786397529505e-04       2.751360341053e-04       2.703003958287e-04       1.707810442326e-04       6.360301635257e-05       2.730902442631e-04       2.696874246687e-04       1.795410115573e-04       7.059935458961e-05       2.677140330601e-04       1.877875431703e-04       7.794717975227e-05       2.221155373721e-04       1.569869956427e-04       1.879592719179e-04       9.718509901015e-08       9.559719365727e-08       9.404577698009e-08       8.032843082631e-08       6.931192431912e-08 
   25       1.313371259015e-10       1.514321379809e-15       2.232399064071e-13       0.000000000000e+00       2.109994104699e-10       2.060177884163e-11      -1.628598826412e-14       3.050662064260e-04       3.012545189012e-04       2.959895019207e-04       1.874463274648e-04       7.026518025484e-05       2.990321845679e-04       2.953292418482e-04       1.970168378596e-04       7.793564535555e-05       2.931847125397e-04       2.060249113219e-04       8.598743797004e-05       2.435130142110e-04       1.724224869620e-04       2.062124551696e-04       9.846068730937e-08       9.687258142035e-08       9.532032305080e-08       8.156769970315e-08       7.048736770185e-08 
   26       1.333791930398e-10       1.736966828725e-15       2.314417915699e-13       0.000000000000e+00       1.963418418377e-10       1.926748551462e-11      -1.594094357109e-14       3.325610244218e-04       3.284331822003e-04       3.227256729775e-04       2.048248124042e-04       7.723259904585e-05       3.260311402798e-04       3.220199210524e-04       2.152414203440e-04       8.560771088567e-05       3.197010688084e-04       2.250446286464e-04       9.439527934231e-05       2.658458334725e-04       1.885582652100e-04       2.253005814801e-04       9.959900260274e-08       9.801350761341e-08       9.646313048792e-08       8.269887647388e-08       7.157293568608e-08 
   27       1.354580120756e-10       1.980576556568e-15       2.385716089750e-13       0.000000000000e+00       1.830944319860e-10       1.805227239047e-11      -1.394312707529e-14       3.610805338312e-04       3.566292834113e-04       3.504672674110e-04       2.228912815516e-04       8.449517480218e-05       3.540450930866e-04       3.497183383743e-04       2.341887157168e-04       9.360467253920e-05       3.472226705951e-04       2.448199189220e-04       1.031590351709e-04       2.890863077882e-04       2.053757904390e-04       2.452045186837e-04       1.006068692137e-07       9.902659873885e-08       9.748064327795e-08       8.372690746796e-08       7.257253415127e-08 
   28       1.375618184376e-10       2.247685486732e-15       2.445844185470e-13       0.000000000000e+00       1.710292630217e-10       1.693782593282e-11      -1.131156060570e-14       3.905785895535e-04       3.857976229872e-04       3.791702115164e-04       2.416189223710e-04       9.204226020313e-05       3.830295658136e-04       3.783809250632e-04       2.538309862527e-04       1.019150207318e-04       3.757066429163e-04       2.653222173795e-04       1.122663202160e-04       3.132045217115e-04       2.228548999579e-04       2.659031469015e-04       1.014878473572e-07       9.991528491374e-08       9.837618133393e-08       8.465419311283e-08       7.348796846912e-08 
   29       1.396997909469e-10       2.539700094073e-15       2.495504542311e-13       0.000000000000e+00       1.600850556571e-10       1.592228856992e-11      -8.708105978161e-15       4.210069405115e-04       4.158909048198e-04       4.087883530179e-04       2.609793964055e-04       9.986242720305e-05       4.129379866327e-04       4.079620282003e-04       2.741389093878e-04       1.105264121303e-04       4.051080295948e-04       2.865213190368e-04       1.217038608286e-04       3.381686861136e-04       2.409740001578e-04       2.873737370963e-04       1.022512551466e-07       1.006886421877e-07       9.915858786862e-08       8.548764809261e-08       7.432479442849e-08 
   30       1.418764254184e-10       2.857653949348e-15       2.536157759244e-13       0.000000000000e+00       1.501446524862e-10       1.499984297507e-11      -6.800426411255e-15       4.523155343044e-04       4.468600293419e-04       4.392737457210e-04       2.809431691440e-04       1.079438757876e-04       4.437219681503e-04       4.384141788936e-04       2.950818774899e-04       1.194260622662e-04       4.353800480390e-04       3.083856486559e-04       1.314578689930e-04       3.639452040859e-04       2.597101790903e-04       3.095918903929e-04       1.029025993820e-07       1.013520212890e-07       9.983305875648e-08       8.623121030264e-08       7.508609504894e-08 
   31       1.440857493481e-10       3.202546583710e-15       2.569285966961e-13       0.000000000000e+00       1.410057179093e-10       1.415596522201e-11      -6.203938386031e-15       4.844528119209e-04       4.786543827975e-04       4.705769323810e-04       3.014796974475e-04       1.162745297593e-04       4.753315920562e-04       4.696883713649e-04       3.166281878728e-04       1.286008451357e-04       4.664743635752e-04       3.308824528566e-04       1.415141455944e-04       3.904988527687e-04       2.790393324715e-04       3.325316532295e-04       1.034425697285e-07       1.019060599863e-07       1.004001774969e-07       8.688506008741e-08       7.577183147146e-08 
   32       1.463307744437e-10       3.575439788214e-15       2.594323802174e-13       0.000000000000e+00       1.326212569055e-10       1.338215837958e-11      -6.734231428437e-15       5.173659335733e-04       5.112220693364e-04       5.026471757484e-04       3.225573642836e-04       1.248416288737e-04       5.077156529122e-04       5.017343111818e-04       3.387450295801e-04       1.380369182840e-04       4.983413476646e-04       3.539778375023e-04       1.518577419089e-04       4.177931094321e-04       2.989362761071e-04       3.561658678957e-04       1.038788579722e-07       1.023582480718e-07       1.008672386324e-07       8.745489991797e-08       7.638655345292e-08 
   33       1.486086544549e-10       3.977389224937e-15       2.609940009293e-13       0.000000000000e+00       1.249321358241e-10       1.266498934189e-11      -7.861297578694e-15       5.510011948352e-04       5.445103107368e-04       5.354328452480e-04       3.441438797963e-04       1.336321868682e-04       5.408220398936e-04       5.345007822929e-04       3.613988557348e-04       1.477201677447e-04       5.309304284937e-04       3.776371111411e-04       1.624733888198e-04       4.457902870458e-04       3.193749294856e-04       3.804661830455e-04       1.042172267498e-07       1.027141873334e-07       1.012396900104e-07       8.794494101594e-08       7.693356750286e-08 
   34       1.509096376599e-10       4.409364765324e-15       2.614651887860e-13       0.000000000000e+00       1.178309462765e-10       1.198769852633e-11      -8.994696655618e-15       5.853042756463e-04       5.784656888554e-04       5.688816531219e-04       3.662064671391e-04       1.426331294487e-04       5.745979741251e-04       5.679358793401e-04       3.845555713234e-04       1.576363473403e-04       5.641903194698e-04       4.018249741134e-04       1.733456371764e-04       4.744517094378e-04       3.403284531617e-04       4.054031686082e-04       1.044598484662e-07       1.029759658655e-07       1.015195401938e-07       8.835658666748e-08       7.741385105766e-08 
   35       1.532359042876e-10       4.872074806876e-15       2.607178438553e-13       0.000000000000e+00       1.112814766580e-10       1.135223500709e-11      -9.848511769873e-15       6.202201551724e-04       6.130340689113e-04       6.029405830841e-04       3.887117095863e-04       1.518310000201e-04       6.089899463547e-04       6.019869563055e-04       4.081804245932e-04       1.677708022507e-04       5.980689843126e-04       4.265054530528e-04       1.844586022957e-04       5.037379054019e-04       3.617693014320e-04       4.309465478720e-04       1.046130163591e-07       1.031497039078e-07       1.017127442585e-07       8.869444535026e-08       7.783108642195e-08 
   36       1.555875865634e-10       5.366067220279e-15       2.586187308562e-13       0.000000000000e+00       1.052313253797e-10       1.076417292337e-11      -1.019545432583e-14       6.556937162064e-04       6.481611864641e-04       6.375564604820e-04       4.116259988187e-04       1.612123357292e-04       6.439442847140e-04       6.366011758267e-04       4.322384325261e-04       1.781088418962e-04       6.325141663312e-04       4.516423031788e-04       1.957963313598e-04       5.336088279968e-04       3.836694416118e-04       4.570652855376e-04       1.046810289982e-07       1.032395686138e-07       1.018233448045e-07       8.896155334831e-08       7.818766375061e-08 
   37       1.579605534770e-10       5.891861373133e-15       2.550466457951e-13       0.000000000000e+00       9.960191819141e-11       1.022610191697e-11      -9.853502597963e-15       6.916700579170e-04       6.837929524841e-04       6.726762477767e-04       4.349156749259e-04       1.707636953017e-04       6.794074520309e-04       6.717257970158e-04       4.566945202873e-04       1.886357734996e-04       6.674736669698e-04       4.771991470669e-04       2.073428427537e-04       5.640239763305e-04       4.060004439477e-04       4.837276956198e-04       1.046657176719e-07       1.032473131762e-07       1.018530219615e-07       8.915901855857e-08       7.848436869343e-08 
   38       1.603588510697e-10       6.450273431323e-15       2.499871037442e-13       0.000000000000e+00       9.437880276461e-11       9.735838790518e-12      -8.978290626601e-15       7.280943925241e-04       7.198753550597e-04       7.082469447974e-04       4.585466722840e-04       1.804711250576e-04       7.153259533555e-04       7.073080827504e-04       4.815131921450e-04       1.993363865104e-04       7.028952544870e-04       5.031391714235e-04       2.190816324188e-04       5.949422908663e-04       4.287333277394e-04       5.109015363597e-04       1.045738175294e-07       1.031794970998e-07       1.018081657222e-07       8.929182797945e-08       7.872519072458e-08 
   39       1.627852263439e-10       7.042192170104e-15       2.434696237615e-13       0.000000000000e+00       8.954549138290e-11       9.287093382958e-12      -7.871172344745e-15       7.649126530889e-04       7.563550522535e-04       7.442161694313e-04       4.824850898753e-04       1.903206808757e-04       7.516469155087e-04       7.432958683300e-04       5.066590921467e-04       2.101954712947e-04       7.387272226849e-04       5.294256764581e-04       2.309961867352e-04       6.263225643550e-04       4.518389112937e-04       5.385541881224e-04       1.044112366997e-07       1.030418728143e-07       1.016943775819e-07       8.936433217770e-08       7.891357964753e-08 
   40       1.652370708172e-10       7.668490667208e-15       2.355439375551e-13       0.000000000000e+00       8.505599221492e-11       8.869527548030e-12      -6.907053121898e-15       8.020719254540e-04       7.931797940463e-04       7.805325700509e-04       5.066975330048e-04       2.002986890341e-04       7.883185004483e-04       7.796379665867e-04       5.320973447694e-04       2.211980820637e-04       7.749187888885e-04       5.560224144179e-04       2.430702465017e-04       6.581237252594e-04       4.752880372873e-04       5.666528107734e-04       1.041805653757e-07       1.028369458894e-07       1.015140807516e-07       8.937828250853e-08       7.905081685851e-08 
   41       1.677091890159e-10       8.329984275230e-15       2.262593472614e-13       0.000000000000e+00       8.085085121591e-11       8.471903771083e-12      -6.435425273573e-15       8.395204217878e-04       8.302984055767e-04       8.171458175383e-04       5.311511335950e-04       2.103917167423e-04       8.252898993329e-04       8.162841718005e-04       5.577935900004e-04       2.323295115801e-04       8.114201087524e-04       5.828936391221e-04       2.552877864908e-04       6.903049698881e-04       4.990516254998e-04       5.951644266359e-04       1.038826451262e-07       1.025655116634e-07       1.012680254070e-07       8.933406933986e-08       7.913705360156e-08 
   42       1.702045524903e-10       9.027290418427e-15       2.155918007137e-13       0.000000000000e+00       7.691774673213e-11       8.093551324165e-12      -6.433321652937e-15       8.772066286596e-04       8.676599843912e-04       8.540058509977e-04       5.558131534745e-04       2.205862499959e-04       8.625105797057e-04       8.531845559729e-04       5.837136261183e-04       2.435749699391e-04       8.481816221924e-04       6.100037886819e-04       2.676326976162e-04       7.228257288357e-04       5.231005043636e-04       6.240558571010e-04       1.035228646606e-07       1.022328199570e-07       1.009613274323e-07       8.923568893361e-08       7.917547447722e-08 
   43       1.727260911242e-10       9.760921520752e-15       2.034951186163e-13       0.000000000000e+00       7.324628767215e-11       7.736081298868e-12      -6.747373388527e-15       9.150804153038e-04       9.052149641322e-04       8.910638956878e-04       5.806515779064e-04       2.308690664302e-04       8.999313062464e-04       8.902904454952e-04       6.098239840418e-04       2.549199660632e-04       8.851549876495e-04       6.373180392712e-04       2.800891752865e-04       7.556460268855e-04       5.474057677420e-04       6.532940067584e-04       1.031062319920e-07       1.018437497707e-07       1.005987417662e-07       8.908685612523e-08       7.916903961293e-08 
   44       1.752733269762e-10       1.053131839885e-14       1.899205168733e-13       0.000000000000e+00       6.980982906066e-11       7.400145510785e-12      -7.185427275274e-15       9.530936413081e-04       9.429157015908e-04       9.282730283803e-04       6.056354562378e-04       2.412274306898e-04       9.375047086043e-04       9.275549686931e-04       6.360922637835e-04       2.663505097432e-04       9.222936107399e-04       6.648026364561e-04       2.926419274198e-04       7.887267424332e-04       5.719389975790e-04       6.828460587813e-04       1.026353127875e-07       1.014007905177e-07       1.001826849229e-07       8.888937811310e-08       7.911912203099e-08 
